  train         node      observed          predicted
      y           16   -1.698970E+00   -8.374935E-01
      y           16   -1.096910E+00   -8.374935E-01
      y           16   -1.301030E+00   -8.374935E-01
      y           16   -1.154902E+00   -8.374935E-01
      y           17   -1.000000E+00    2.386395E-01
      y           17    2.689779E+00    2.386395E-01
      y           24    1.006894E+00    1.082486E+00
      y           17    1.846955E+00    2.386395E-01
      y           17    1.990694E+00    2.386395E-01
      y           17    1.495960E+00    2.386395E-01
      y           24   -2.218488E-01    1.082486E+00
      y            9   -2.000000E+00   -7.970092E-01
      y           13    4.048337E-01    8.778999E-01
      y           17   -1.154902E+00    2.386395E-01
      y           24   -1.397940E+00    1.082486E+00
      y           13    1.427973E+00    8.778999E-01
      y            7    2.283233E+00    2.300573E+00
      y            5    2.984361E+00    9.795952E-01
      y            7    1.934549E+00    2.300573E+00
      y            9    5.921768E-01   -7.970092E-01
      y            7    2.617053E+00    2.300573E+00
      y            7    3.210359E+00    2.300573E+00
      y           13    1.962843E+00    8.778999E-01
      y            9   -5.376020E-01   -7.970092E-01
      y            9   -1.221849E+00   -7.970092E-01
      y            9   -1.023729E-01   -7.970092E-01
      y            7    3.673559E-01    2.300573E+00
      y            9   -8.538720E-01   -7.970092E-01
      y           25   -1.301030E+00   -5.163739E-01
      y            9   -1.301030E+00   -7.970092E-01
      y           13   -7.695511E-01    8.778999E-01
      y            9   -2.000000E+00   -7.970092E-01
      y            9   -1.045757E+00   -7.970092E-01
      y           25   -4.202164E-01   -5.163739E-01
      y            9   -1.301030E+00   -7.970092E-01
      y            9   -1.698970E+00   -7.970092E-01
      y            9   -1.397940E+00   -7.970092E-01
      y           13   -1.674911E-01    8.778999E-01
      y            7    2.050225E+00    2.300573E+00
      y            9   -1.045757E+00   -7.970092E-01
      y           13   -7.058107E-02    8.778999E-01
      y           16   -1.301030E+00   -8.374935E-01
      y           16   -1.698970E+00   -8.374935E-01
      y           13    4.533183E-01    8.778999E-01
      y           16   -2.000000E+00   -8.374935E-01
      y           24    5.690485E-02    1.082486E+00
      y           16   -8.860566E-01   -8.374935E-01
      y           16   -1.698970E+00   -8.374935E-01
      y           16   -3.621217E-02   -8.374935E-01
      y           16   -3.665315E-01   -8.374935E-01
      y           16   -8.538720E-01   -8.374935E-01
      y           17    3.747483E-01    2.386395E-01
      y           17   -8.538720E-01    2.386395E-01
      y            9    1.324488E+00   -7.970092E-01
      y           17   -7.447275E-01    2.386395E-01
      y            9   -8.538720E-01   -7.970092E-01
      y           25   -8.773924E-03   -5.163739E-01
      y           13    1.583625E-01    8.778999E-01
      y            9   -2.000000E+00   -7.970092E-01
      y           13    2.944662E-01    8.778999E-01
      y            9   -1.397940E+00   -7.970092E-01
      y            9   -1.154902E+00   -7.970092E-01
      y           25   -1.522879E+00   -5.163739E-01
      y           13    6.541765E-01    8.778999E-01
      y           13    1.306211E+00    8.778999E-01
      y            9   -1.698970E+00   -7.970092E-01
      y            9   -1.301030E+00   -7.970092E-01
      y            5   -3.767507E-01    9.795952E-01
      y           25   -4.814861E-01   -5.163739E-01
      y            7    1.295787E+00    2.300573E+00
      y           13   -2.757241E-01    8.778999E-01
      y           25    6.445799E-02   -5.163739E-01
      y            5    3.324385E-01    9.795952E-01
      y            9   -1.698970E+00   -7.970092E-01
      y            9   -1.698970E+00   -7.970092E-01
      y           13   -1.154902E+00    8.778999E-01
      y            9   -1.698970E+00   -7.970092E-01
      y            9   -2.000000E+00   -7.970092E-01
      y            7    9.965117E-01    2.300573E+00
      y           16   -6.020600E-01   -8.374935E-01
      y           16   -3.872161E-01   -8.374935E-01
      y            9    9.342169E-02   -7.970092E-01
      y            9   -2.000000E+00   -7.970092E-01
      y            5    1.461280E-01    9.795952E-01
      y           16    2.041200E-01   -8.374935E-01
      y           16   -2.000000E+00   -8.374935E-01
      y           24    4.321374E-03    1.082486E+00
      y           16   -1.522879E+00   -8.374935E-01
      y           16   -2.757241E-01   -8.374935E-01
      y           17    1.436481E+00    2.386395E-01
      y           17   -7.212464E-01    2.386395E-01
      y           24    1.172311E+00    1.082486E+00
      y           17    1.147676E+00    2.386395E-01
      y           17   -7.958800E-01    2.386395E-01
      y           17   -1.522879E+00    2.386395E-01
      y           24    4.409091E-01    1.082486E+00
      y           13    3.747483E-01    8.778999E-01
      y            9   -1.045757E+00   -7.970092E-01
      y            5   -3.767507E-01    9.795952E-01
      y            5    2.922561E-01    9.795952E-01
      y            9   -1.301030E+00   -7.970092E-01
      y            9   -1.221849E+00   -7.970092E-01
      y           13    4.921802E-02    8.778999E-01
      y            9   -1.698970E+00   -7.970092E-01
      y           13    6.201361E-01    8.778999E-01
      y           25    1.072100E-01   -5.163739E-01
      y            9   -1.221849E+00   -7.970092E-01
      y            9   -1.698970E+00   -7.970092E-01
      y           13    9.518230E-01    8.778999E-01
      y           25   -9.208188E-01   -5.163739E-01
      y           25   -1.249387E-01   -5.163739E-01
      y            9   -1.522879E+00   -7.970092E-01
      y           25   -1.522879E+00   -5.163739E-01
      y            9   -3.279021E-01   -7.970092E-01
      y           16   -1.698970E+00   -8.374935E-01
      y           16   -1.698970E+00   -8.374935E-01
      y           16   -2.000000E+00   -8.374935E-01
      y           16   -1.301030E+00   -8.374935E-01
      y            9   -1.522879E+00   -7.970092E-01
      y           16   -5.376020E-01   -8.374935E-01
      y           13    7.481880E-01    8.778999E-01
      y           16   -1.397940E+00   -8.374935E-01
      y           16    3.096302E-01   -8.374935E-01
      y           24    1.047664E+00    1.082486E+00
      y           16   -2.000000E+00   -8.374935E-01
      y           17    3.138672E-01    2.386395E-01
      y           17    2.945020E+00    2.386395E-01
      y           17    1.657247E+00    2.386395E-01
      y           17    6.031444E-01    2.386395E-01
      y           17   -2.000000E+00    2.386395E-01
      y           24    4.166405E-01    1.082486E+00
      y           17   -1.522879E+00    2.386395E-01
      y           17   -1.096910E+00    2.386395E-01
      y            9   -1.698970E+00   -7.970092E-01
      y            9   -1.698970E+00   -7.970092E-01
      y            9   -1.698970E+00   -7.970092E-01
      y            9   -1.698970E+00   -7.970092E-01
      y           13   -1.221849E+00    8.778999E-01
      y            9   -1.698970E+00   -7.970092E-01
      y           25   -1.522879E+00   -5.163739E-01
      y            9   -6.382722E-01   -7.970092E-01
      y            9   -1.522879E+00   -7.970092E-01
      y            9   -1.045757E+00   -7.970092E-01
      y           25   -1.397940E+00   -5.163739E-01
      y           13    6.818586E-02    8.778999E-01
      y           13    2.118930E-02    8.778999E-01
      y           13   -8.538720E-01    8.778999E-01
      y           25   -1.522879E+00   -5.163739E-01
      y            7    1.680336E+00    2.300573E+00
      y           13    1.635484E+00    8.778999E-01
      y            7    1.358886E+00    2.300573E+00
      y           25    1.846914E-01   -5.163739E-01
      y           13    1.170262E+00    8.778999E-01
      y           16   -4.089354E-01   -8.374935E-01
      y            9   -2.000000E+00   -7.970092E-01
      y           13    1.273696E+00    8.778999E-01
