4,3,na,na,na,na,na,na,na,na,na,na,na,na,na,37,13,24,0.51,14,5,P,S,M,3,14.75,337,-0.463550271,0.886070622,12,1990,0.35,0.95,0.32,0.09,0.17,0.06,0.15,0.41,0.14,0.04,0.08,0.03,-0.443697499,-0.017728767,-0.48148606,-1,-0.744727495,-1.15490196,-0.795880017,-0.37675071,-0.823908741,-1.301029996,-1.045757491,-1.397940009,2,5.6,1.87,0.4,0.8,0.27,0.74
5,7,na,na,na,na,na,na,na,na,na,na,na,na,na,48,11,34,0,0,N,0,0,M,7,18.41,341,-0.401487989,0.915864288,12,1990,0.42,2.8,0.4,0.03,0.08,0.01,0.23,1.45,0.21,0.02,0.09,0.01,-0.366531544,0.44870632,-0.387216143,-1.397940009,-1.045757491,-1.698970004,-0.619788758,0.164352856,-0.657577319,-1.522878745,-1,-1.698970004,2.2,14.7,2.1,0.2,1.6,0.13,na
6,5,na,na,na,na,na,na,na,na,na,na,na,na,na,33,20,29,1.38,8,N,P,S,M,3,17.29,349,-0.271958158,0.962309077,12,1990,0.47,2.21,0.44,0.04,0.12,0.02,0.22,1.1,0.22,0.03,0.06,0.01,-0.318758763,0.346352974,-0.346787486,-1.301029996,-0.886056648,-1.522878745,-0.638272164,0.045322979,-0.638272164,-1.397940009,-1.15490196,-1.698970004,2.1,10.3,2.06,0.2,0.5,0.1,na
7,3,na,na,na,na,na,na,na,na,na,na,na,na,na,36,-15,6,0.09,1,N,P,S,M,3,19.67,354,-0.18822671,0.982125606,12,1990,0.46,1.31,0.44,0.08,0.12,0.04,0.2,0.57,0.19,0.04,0.06,0.02,-0.327902142,0.120573931,-0.346787486,-1.045757491,-0.886056648,-1.301029996,-0.677780705,-0.236572006,-0.698970004,-1.301029996,-1.15490196,-1.522878745,2,5.7,1.9,0.4,0.6,0.2,na
8,1,na,na,na,na,na,na,na,na,na,na,na,na,na,27,-4,12,0.04,1,N,P,S,M,3,23.71,363,-0.034421612,0.999407401,12,1990,0.51,0.51,0.51,0.13,0.13,0.13,0.17,0.17,0.17,0.03,0.03,0.03,-0.283996656,-0.283996656,-0.283996656,-0.853871964,-0.853871964,-0.853871964,-0.744727495,-0.744727495,-0.744727495,-1.397940009,-1.397940009,-1.397940009,1.9,1.9,1.9,0.4,0.6,0.3,na
9,4,na,na,na,na,na,na,na,na,na,na,na,na,na,27,-7,9,0.02,0,U,P,0,M,3,22.66,364,-0.017213356,0.999851839,12,1990,0.53,2.03,0.51,0.04,0.07,0.02,0.16,0.63,0.16,0.01,0.01,0,-0.26760624,0.309630167,-0.283996656,-1.301029996,-1.096910013,-1.522878745,-0.769551079,-0.193820026,-0.769551079,-1.698970004,-1.698970004,-2,1.9,7.3,1.83,0.1,0.2,0.05,na
10,6,na,na,na,na,na,na,na,na,na,na,na,na,na,25,-10,12,0.4,5,U,P,S,M,3,20.18,5,0.085964799,0.996298175,1,1991,0.62,3.57,0.6,0.02,0.06,0.01,0.15,0.89,0.15,0.01,0.02,0,-0.200659451,0.553883027,-0.214670165,-1.522878745,-1.15490196,-1.698970004,-0.795880017,-0.045757491,-0.795880017,-1.698970004,-1.522878745,-2,1.9,11.4,1.9,0,0,0,na
11,6,na,na,na,na,na,na,na,na,na,na,na,na,na,42,-5,23,0,0,4,0,0,M,5,25.27,16,0.271958158,0.962309077,1,1991,0.69,3.95,0.66,0.11,0.16,0.03,0.22,1.25,0.21,0.02,0.06,0.01,-0.15490196,0.597695186,-0.173925197,-0.920818754,-0.769551079,-1.397940009,-0.638272164,0.100370545,-0.657577319,-1.522878745,-1.15490196,-1.698970004,2.1,12.2,2.03,0.3,0.4,0.07,1.01
12,11,na,na,na,na,na,na,na,na,na,na,na,na,na,50,4,33,0,0,8,0,0,M,5,29.8,32,0.523415607,0.852077521,2,1991,0.78,7.71,0.7,0.13,0.38,0.03,0.48,4.5,0.41,0.09,0.25,0.02,-0.102372909,0.8876173,-0.148741651,-0.853871964,-0.408935393,-1.397940009,-0.30980392,0.654176542,-0.37675071,-1,-0.585026652,-1.522878745,2.4,23.8,2.16,0.4,1.1,0.1,2.38
13,3,na,na,na,na,na,na,na,na,na,na,na,na,na,36,2,26,0,0,U,0,0,M,8,25.69,47,0.723644038,0.690173388,2,1991,0.65,1.82,0.61,0.1,0.17,0.06,0.53,1.49,0.5,0.09,0.17,0.06,-0.180456064,0.26245109,-0.207608311,-0.958607315,-0.744727495,-1.15490196,-0.26760624,0.176091259,-0.292429824,-1,-0.744727495,-1.15490196,2,5.6,1.87,0.3,0.5,0.17,na
