1,3,"1","0.788","1.14","0.948","0.776","0.554","0.33","3.066","14.83333333","0.053123596","0","na","na","75","43","60",0.82,0,0,"P","0","0","1","na",275,-0.999768502,0.021516097,10,"1990",1.2,2.09,0.7,0.76,0.8,0.27,0.31,0.43,0.14,0.25,0.26,0.09,0.08278537,0.322219295,-0.148741651,-0.113509275,-0.091514981,-0.552841969,-0.494850022,-0.356547324,-0.823908741,-0.585026652,-0.568636236,-1,4,9.4,3.13,1.3,1.5,0.5,0,0.788,0,1.247099561
2,2,"1","0.283","0.12","0.108","0.108","0.096","0.08","0.145","7.083333333","0.039952941","0.016","0.016","0.103","69","28","46",0.52,0,0,"P","0","0","1","na",290,-0.961129784,0.276096973,10,"1990",0.43,0.79,0.4,0.08,0.09,0.05,0.06,0.11,0.06,0.01,0.01,0.01,-0.356547324,-0.096910013,-0.387216143,-1.045757491,-1,-1.22184875,-1.15490196,-0.920818754,-1.15490196,-1.698970004,-1.698970004,-1.698970004,2.6,4.8,2.4,0.4,0.4,0.2,0,0.283,0,1.247099561
3,4,"1","0.305","0.216","0.186","0.172","0.116","0.073","0.196","12.58333333","0.024238411","0","0.298","0.314","64","30","47",0.39,0,0,"P","0","0","1","na",293,-0.945596387,0.325342085,10,"1990",0.42,1.55,0.39,0.05,0.09,0.02,0.06,0.21,0.05,0.01,0.01,0,-0.366531544,0.193124598,-0.397940009,-1.22184875,-1,-1.522878745,-1.15490196,-0.657577319,-1.22184875,-1.698970004,-1.698970004,-2,2.6,9.6,2.4,0.3,0.6,0.15,0,0.305,0,1.247099561
4,3,"na","na","na","na","na","na","na","na","na","na","na","na","na","37","13","24",0.51,14,5,"P","S","M","3","14.75",337,-0.463550271,0.886070622,12,"1990",0.35,0.95,0.32,0.09,0.17,0.06,0.15,0.41,0.14,0.04,0.08,0.03,-0.443697499,-0.017728767,-0.48148606,-1,-0.744727495,-1.15490196,-0.795880017,-0.37675071,-0.823908741,-1.301029996,-1.045757491,-1.397940009,2,5.6,1.87,0.4,0.8,0.27,0.737670943,0.737670943,0,1.247099561
5,7,"na","na","na","na","na","na","na","na","na","na","na","na","na","48","11","34",0,0,NA,"0","0","M","7","18.41",341,-0.401487989,0.915864288,12,"1990",0.42,2.8,0.4,0.03,0.08,0.01,0.23,1.45,0.21,0.02,0.09,0.01,-0.366531544,0.44870632,-0.387216143,-1.397940009,-1.045757491,-1.698970004,-0.619788758,0.164352856,-0.657577319,-1.522878745,-1,-1.698970004,2.2,14.7,2.1,0.2,1.6,0.13,NA,NA,0,1.247099561
6,5,"na","na","na","na","na","na","na","na","na","na","na","na","na","33","20","29",1.38,8,NA,"P","S","M","3","17.29",349,-0.271958158,0.962309077,12,"1990",0.47,2.21,0.44,0.04,0.12,0.02,0.22,1.1,0.22,0.03,0.06,0.01,-0.318758763,0.346352974,-0.346787486,-1.301029996,-0.886056648,-1.522878745,-0.638272164,0.045322979,-0.638272164,-1.397940009,-1.15490196,-1.698970004,2.1,10.3,2.06,0.2,0.5,0.1,NA,NA,0,1.247099561
7,3,"na","na","na","na","na","na","na","na","na","na","na","na","na","36","-15","6",0.09,1,NA,"P","S","M","3","19.67",354,-0.18822671,0.982125606,12,"1990",0.46,1.31,0.44,0.08,0.12,0.04,0.2,0.57,0.19,0.04,0.06,0.02,-0.327902142,0.120573931,-0.346787486,-1.045757491,-0.886056648,-1.301029996,-0.677780705,-0.236572006,-0.698970004,-1.301029996,-1.15490196,-1.522878745,2,5.7,1.9,0.4,0.6,0.2,NA,NA,0,1.247099561
8,1,"na","na","na","na","na","na","na","na","na","na","na","na","na","27","-4","12",0.04,1,NA,"P","S","M","3","23.71",363,-0.034421612,0.999407401,12,"1990",0.51,0.51,0.51,0.13,0.13,0.13,0.17,0.17,0.17,0.03,0.03,0.03,-0.283996656,-0.283996656,-0.283996656,-0.853871964,-0.853871964,-0.853871964,-0.744727495,-0.744727495,-0.744727495,-1.397940009,-1.397940009,-1.397940009,1.9,1.9,1.9,0.4,0.6,0.3,NA,NA,0,1.247099561
9,4,"na","na","na","na","na","na","na","na","na","na","na","na","na","27","-7","9",0.02,0,NA,"P","0","M","3","22.66",364,-0.017213356,0.999851839,12,"1990",0.53,2.03,0.51,0.04,0.07,0.02,0.16,0.63,0.16,0.01,0.01,0,-0.26760624,0.309630167,-0.283996656,-1.301029996,-1.096910013,-1.522878745,-0.769551079,-0.193820026,-0.769551079,-1.698970004,-1.698970004,-2,1.9,7.3,1.83,0.1,0.2,0.05,NA,NA,0,1.247099561
10,6,"na","na","na","na","na","na","na","na","na","na","na","na","na","25","-10","12",0.4,5,NA,"P","S","M","3","20.18",5,0.085964799,0.996298175,1,"1991",0.62,3.57,0.6,0.02,0.06,0.01,0.15,0.89,0.15,0.01,0.02,0,-0.200659451,0.553883027,-0.214670165,-1.522878745,-1.15490196,-1.698970004,-0.795880017,-0.045757491,-0.795880017,-1.698970004,-1.522878745,-2,1.9,11.4,1.9,0,0,0,NA,NA,0,1.247099561
