storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_3day,ap_5day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
18,3,,,,,,,,,,,,,,,,33,12,26,0.17,3.5,0.8,P,S,M,3,50.00%,2/12/91,2/14/91,2,1991,2.89,6.83,2.28,0.88,1.23,0.41,0.49,1.41,0.47,0.02,0.02,0.01,4.5,12,4,0.8,1.1,0.37,0.4,0.4
19,3,,,,,,,,,,,,,,,,33,3,19,0.09,0.8,1,P,S,M,3,20.00%,2/15/91,2/17/91,2,1991,1.35,3.28,1.09,0.34,0.47,0.16,0.45,1.34,0.45,0.01,0.01,0,3.2,8.8,2.93,0.3,0.4,0.13,0.2,0.2
20,3,,,,,,,,,,,,,,,,42,22,32,0.17,0,3,P,,M,3,20.00%,2/18/91,2/20/91,2,1991,0.73,2.13,0.71,0,0,0,0.48,1.42,0.47,0.05,0.13,0.04,2.6,7.8,2.6,0,0,0,0.6,0.6
21,3,,,,,,,,,,,,,,,,51,20,35,0.08,1,0.5,P,S,M,3,,2/21/91,2/23/91,2,1991,6.7,12.93,4.31,5.7,10.23,3.41,0.83,1.87,0.62,0.22,0.22,0.07,5.4,14.4,4.8,1.9,4.4,1.47,NA,NA
22,3,,,,,,,,,,,,,,,,32,5,20,0.19,2.5,U,P,S,M,3,8.33%,2/24/91,2/26/91,2,1991,1,2.73,0.91,0.08,0.11,0.04,0.68,1.85,0.62,0.07,0.15,0.05,3.7,10.1,3.37,0.3,0.4,0.13,NA,NA
23,4,3/1/91 9:15,3/2/91 11:40,1,0.922,0.216,0.186,0.144,0.104,0.1,0.515,26.42,0.035,0,0,0,41,14,28,1.1,0,U,P,,M,2,37.50%,3/1/91,3/4/91,3,1991,81.42,150.54,37.64,80.48,137.86,34.47,13.77,27.78,6.94,13.13,25.52,6.38,30,68,17,26.5,41,10.25,NA,NA
24,2,,,,,,,,,,,,,,,,43,17,30,0,0,Z,,,M,6,,3/6/91,3/7/91,3,1991,6.48,12.96,6.48,2.7,5.4,2.7,0.58,1.17,0.58,0.24,0.48,0.24,12,24,12,5,10,5,NA,NA
25,6,,,,,,,,,,,,,,,,40,20,33,0.06,0,Z,P,,M,6,,3/8/91,3/13/91,3,1991,3.78,21.28,3.55,0.22,0.44,0.07,0.34,1.91,0.32,0.02,0.04,0.01,7,39.4,6.57,0.4,0.8,0.13,NA,NA
26,2,,,,,,,,,,,,,,,,42,27,36,0,0,Z,,,M,6,,3/16/91,3/17/91,3,1991,5.12,9.44,4.72,1.34,1.88,0.94,0.46,0.85,0.42,0.12,0.17,0.09,9.5,17.5,8.75,2.5,3.5,1.75,NA,NA
27,2,,,,,,,,,,,,,,,,59,34,47,0,0,Z,,,M,6,,3/19/91,3/20/91,3,1991,8.77,16.81,8.4,2.3,3.87,1.94,0.79,1.51,0.76,0.21,0.35,0.18,16,31,15.5,4,7,3.5,NA,NA
28,3,3/22/91 21:30,3/23/91 7:05,1,0.373,0.3,0.258,0.268,0.22,0.152,0.504,9.58,0.039,0,0.016,0.032,49,32,41,0.42,0,0,P,,,1,,3/22/91,3/24/91,3,1991,86.2,107.8,35.93,76.98,81.35,27.12,13.1,14.84,4.95,12.27,12.6,4.2,27,67,22.33,10,19,6.33,0,0.37
29,3,3/27/91 2:25,3/27/91 22:25,1,0.415,0.492,0.444,0.316,0.236,0.128,0.596,20,0.021,0.051,0.051,0.532,69,27,48,0.6,0,0,P,,,1,,3/26/91,3/28/91,3,1991,86.2,188.1,62.7,78.71,165.12,55.04,13.1,27.35,9.12,12.67,25.91,8.64,27,65,21.67,12,21,7,0,0.42
30,5,4/8/91 4:40,4/10/91 0:55,2,1.75,1.02,0.846,0.656,0.446,0.278,5.019,44.25,0.04,0,0,0,59,29,41,1.75,1.5,1.5,P,S,M,2,100.00%,4/8/91,4/12/91,4,1991,161,429.29,85.86,151.11,389.5,77.9,27.7,69.58,13.92,26.72,66.26,13.25,40,124.9,24.98,33.1,76.2,15.24,1.5,3.25
31,2,4/14/91 1:30,4/14/91 12:15,1,0.7,0.3,0.3,0.28,0.256,0.218,1.142,10.75,0.065,0.03,0.102,1.286,54,37,46,1.35,0,0,P,,,1,,4/14/91,4/15/91,4,1991,119,215.6,107.8,69.6,116.8,58.4,19.2,34.2,17.1,12.48,20.76,10.38,33,62,31,14,24,12,0,0.7
32,4,4/27/91 10:50,4/27/91 11:40,1,0.486,3.468,2.178,1.704,0.922,-9,4.315,0.83,0.583,0,0,0.002,59,41,51,0.26,0,0,P,,,1,,4/27/91,4/30/91,4,1991,1.63,5.86,1.46,0.6,1.26,0.32,0.1,0.36,0.09,0.05,0.08,0.02,6.9,24.5,6.13,2.3,5.5,1.38,0,0.49
33,3,5/5/91 10:15,5/5/91 18:20,1,0.433,0.408,0.384,0.344,0.27,0.203,0.728,8.08,0.054,0,0,0,57,38,44,0.46,0,0,P,,,1,,5/5/91,5/7/91,5,1991,1.8,4.85,1.62,0.41,0.67,0.22,0.17,0.46,0.15,0.05,0.09,0.03,6,16.1,5.37,1.2,1.7,0.57,0,0.43
34,3,5/23/91 14:20,5/24/91 8:15,1,0.48,1.512,1.08,0.912,0.494,0.26,1.981,17.92,0.027,0,0.054,0.098,84,49,66,0.1,0,0,P,,,1,,5/23/91,5/25/91,5,1991,2.26,6.02,2.01,0.48,0.67,0.22,0.46,1.22,0.41,0.09,0.11,0.04,4.6,12.4,4.13,0.9,1.3,0.43,0,0.48
