storm_num,num_days,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_2day,ap_3day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,julian,sinJulian,cosJulian,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,logptotmax,logptottot,logptotavg,logpstormmax,logpstormtot,logpstormavg,logstotmax,logstottot,logstotavg,logsstormmax,logsstormtot,logsstormavg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
68,5,na,na,na,na,na,na,na,na,na,na,na,na,na,50,19,34,0,0,Z,na,na,M,6,na,33,0.538005172,0.842941537,2,1992,1.22,5.92,1.18,0.04,0.12,0.02,0.09,0.42,0.08,0.01,0.04,0.01,0.089905111,0.773054693,0.075546961,-1.301029996,-0.886056648,-1.522878745,-1,-0.366531544,-1.045757491,-1.698970004,-1.301029996,-1.698970004,4.5,21.9,4.38,0.1,0.3,0.06,na,na
69,4,na,na,na,na,na,na,na,na,na,na,na,na,na,34,10,25,0.12,2.7,0.7,P,S,M,3,na,41,0.648629561,0.761104259,2,1992,1.25,4.48,1.12,0.21,0.31,0.08,0.06,0.25,0.06,0,0,0,0.100370545,0.652246341,0.053078443,-0.657577319,-0.494850022,-1.045757491,-1.15490196,-0.585026652,-1.15490196,-2,-2,-2,3.9,15.3,3.83,0,0,0,0,0
72,5,na,na,na,na,na,na,na,na,na,na,na,na,na,40,23,34,0,0,4,na,na,M,5,na,51,0.769414827,0.638749422,2,1992,4.73,17.01,3.4,0.8,2.1,0.42,0.12,0.46,0.09,0.02,0.05,0.01,0.675778342,1.230959556,0.532754379,-0.091514981,0.324282455,-0.366531544,-0.886056648,-0.327902142,-1,-1.522878745,-1.22184875,-1.698970004,5.5,21.7,4.34,0.8,1.8,0.36,0,0
73,5,na,na,na,na,na,na,na,na,na,na,na,na,na,58,14,36,0,0,1,na,na,M,5,10,57,0.831170626,0.556017437,2,1992,91.41,205.72,41.14,61.14,133.24,26.65,12.2,23.91,4.78,10.18,19.58,3.92,1.961041217,2.313297626,1.61436984,1.786396461,2.124667218,1.425860145,1.086715664,1.378761175,0.680335513,1.008174184,1.292034436,0.59439255,24,74.2,14.84,13.4,24.4,4.88,0.1,0.1
77,5,na,na,na,na,na,na,na,na,na,na,na,na,na,50,19,34,0.53,5.8,6,P,S,M,2,14.72,81,0.984473817,0.17553149,3,1992,29.23,60.8,12.16,11.34,15.87,3.17,3.21,6.11,1.22,1.55,2.21,0.44,1.465977368,1.783975003,1.085290578,1.054995862,1.200850498,0.50242712,0.507855872,0.786751422,0.089905111,0.193124598,0.346352974,-0.346787486,20,55.9,11.18,7,8.6,1.72,0.88,0.88
78,3,na,na,na,na,na,na,na,na,na,na,na,na,na,43,22,34,0.16,1,1,P,S,M,3,na,86,0.995918996,0.09025161,3,1992,17.89,37.86,12.62,4.87,5.27,1.76,1.66,3.46,1.15,0.16,0.2,0.07,1.252853031,1.578295305,1.101403351,0.688419822,0.722633923,0.247973266,0.222716471,0.540329475,0.064457989,-0.769551079,-0.677780705,-1.096910013,19,48,16,6,9,3,0,0
79,11,na,na,na,na,na,na,na,na,na,na,na,na,na,57,21,40,0.03,0,Z,P,na,M,6,na,90,0.999768502,0.021516097,3,1992,6.59,42.07,3.82,1.69,4.02,0.37,0.71,4.41,0.4,0.19,0.46,0.04,0.819543936,1.624075731,0.583198774,0.230448921,0.605305046,-0.420216403,-0.142667504,0.645422269,-0.387216143,-0.698970004,-0.327902142,-1.301029996,12,87.9,7.99,2.5,6,0.55,na,na
107,2,na,na,na,na,na,na,na,na,na,na,na,na,na,35,16,26,0.07,1,1,P,S,M,3,,354,-0.18822671,0.982125606,12,1992,7.98,12.66,6.33,4.46,5.61,2.81,0.47,0.74,0.37,0.26,0.32,0.16,0.902546779,1.102776615,0.802089258,0.650307523,0.749736316,0.450249108,-0.318758763,-0.124938737,-0.420216403,-0.568636236,-0.48148606,-0.769551079,12,19,9.5,6.8,8.6,4.3,0,0
109,4,na,na,na,na,na,na,na,na,na,na,na,na,na,41,14,26,0.39,0.5,N,P,S,M,3,6.67,4,0.068802427,0.997630305,1,1993,6.47,19.44,4.86,1.83,4.72,1.18,0.47,1.49,0.37,0.15,0.38,0.1,0.811575006,1.288919606,0.687528961,0.264817823,0.674861141,0.075546961,-0.318758763,0.176091259,-0.420216403,-0.795880017,-0.408935393,-0.958607315,5.4,18.5,4.63,1.9,4.7,1.18,na,na
110,2,na,na,na,na,na,na,na,na,na,na,na,na,na,27,17,22,0.12,3,U,P,S,M,3,9.17,9,0.154308821,0.988022666,1,1993,2.24,4.14,2.07,0.59,0.84,0.42,0.2,0.38,0.19,0.04,0.06,0.03,0.352182518,0.618048097,0.318063335,-0.22184875,-0.070581074,-0.366531544,-0.677780705,-0.408935393,-0.698970004,-1.301029996,-1.15490196,-1.397940009,3.1,6,3,0.3,0.4,0.2,na,na
