1,5,"1","0.835","1.44","1.092","0.96","0.674","0.389","4.041","14.167","0.059","na","0.046","0.068","82","43","62",0.82,0,0,"P","0","0","1","na",275,-0.999768502,0.021516097,10,"1990",8.8,16.78,3.36,7.16,7.96,1.59,3.8,5.42,1.08,3.67,4.75,0.95,0.944975908,1.225050696,0.527629901,0.855519156,0.901458321,0.204119983,0.580924976,0.73479983,0.037426498,0.565847819,0.677606953,-0.017728767,11,38.3,7.66,5.1,6.4,1.28,"0","0.84",0,1.9372238824
2,3,"1","0.331","0.12","0.096","0.096","0.088","0.076","0.146","17.417","0.019","na","0.78","0.866","69","28","44",0.52,0,0,"P","0","0","1","na",290,-0.961129784,0.276096973,10,"1990",2.13,5.85,1.95,0.33,0.45,0.15,0.8,1.03,0.34,0.69,0.7,0.23,0.330413773,0.767897616,0.292256071,-0.468521083,-0.337242168,-0.795880017,-0.091514981,0.017033339,-0.455931956,-0.15490196,-0.148741651,-0.619788758,7.1,19.5,6.5,1.2,1.3,0.43,"0","0.33",0,1.9372238824
3,5,"1","0.294","0.168","0.144","0.144","0.108","0.079","0.164","14.833","0.02","na","0","0","64","30","47",0.39,0,0,"P","0","0","1","na",293,-0.945596387,0.325342085,10,"1990",2.08,9.31,1.86,0.23,0.46,0.09,0.84,1.28,0.26,0.73,0.75,0.15,0.320146286,0.969415912,0.271841607,-0.619788758,-0.327902142,-1,-0.070581074,0.11058971,-0.568636236,-0.13076828,-0.119186408,-0.795880017,7.2,32.9,6.58,0.8,1.8,0.36,"0","0.29",0,1.9372238824
4,6,"na","na","na","na","na","na","na","na","na","na","na","na","na","48","13","29",0.51,14,NA,"P","S","M","3","14.66",337,-0.463550271,0.886070622,12,"1990",1.17,6.36,1.06,0.2,0.43,0.07,0.17,0.9,0.15,0.03,0.05,0.01,0.071882007,0.804139432,0.029383778,-0.677780705,-0.356547324,-1.096910013,-0.744727495,-0.040958608,-0.795880017,-1.397940009,-1.22184875,-1.698970004,5.4,29.4,4.9,1.3,2.4,0.4,"na","na",0,1.9372238824
5,5,"na","na","na","na","na","na","na","na","na","na","na","na","na","40","11","27",0.55,4,NA,"P","S","M","3","19.87",345,-0.3375229,0.941317318,12,"1990",1.12,5.46,1.09,0.09,0.18,0.04,0.17,0.82,0.16,0.01,0.02,0,0.053078443,0.737987326,0.041392685,-1,-0.721246399,-1.301029996,-0.744727495,-0.080921908,-0.769551079,-1.698970004,-1.522878745,-2,5.2,25.3,5.06,0.3,0.6,0.12,"na","na",0,1.9372238824
6,4,"na","na","na","na","na","na","na","na","na","na","na","na","na","33","20","29",0.83,4,NA,"P","S","M","3","16.96",350,-0.255353295,0.966847814,12,"1990",1.16,4.58,1.14,0.04,0.09,0.02,0.18,0.71,0.18,0.01,0.02,0,0.068185862,0.661812686,0.06069784,-1.301029996,-1,-1.522878745,-0.721246399,-0.142667504,-0.721246399,-1.698970004,-1.522878745,-2,5.3,21.1,5.28,0.2,0.5,0.13,"na","na",0,1.9372238824
7,2,"na","na","na","na","na","na","na","na","na","na","na","na","na","8","-15","-1",0.06,1,NA,"P","S","M","3","20.12",355,-0.171293144,0.985220107,12,"1990",1.12,2.2,1.1,0.11,0.13,0.07,0.18,0.35,0.18,0.02,0.02,0.01,0.053078443,0.344392274,0.045322979,-0.920818754,-0.853871964,-1.096910013,-0.721246399,-0.443697499,-0.721246399,-1.522878745,-1.522878745,-1.698970004,5.2,10.2,5.1,0.7,1.2,0.6,"na","na",0,1.9372238824
8,5,"na","na","na","na","na","na","na","na","na","na","na","na","na","27","-7","9",0.06,1,NA,"P","S","M","3","22.87",363,-0.034421612,0.999407401,12,"1990",1.04,5,1,0.09,0.27,0.05,0.18,0.87,0.17,0.02,0.05,0.01,0.021189299,0.699837726,0.004321374,-1,-0.552841969,-1.22184875,-0.721246399,-0.055517328,-0.744727495,-1.522878745,-1.22184875,-1.698970004,4.9,23.6,4.72,0.5,1,0.2,"na","na",0,1.9372238824
9,4,"na","na","na","na","na","na","na","na","na","na","na","na","na","19","-10","6",0.29,2,NA,"P","S","M","3","22.29",4,0.068802427,0.997630305,1,"1991",0.9,3.45,0.86,0.05,0.1,0.03,0.15,0.59,0.15,0.01,0.02,0.01,-0.040958608,0.539076099,-0.060480747,-1.22184875,-0.958607315,-1.397940009,-0.795880017,-0.22184875,-0.795880017,-1.698970004,-1.522878745,-1.698970004,4.9,19,4.75,0.2,0.4,0.1,"na","na",0,1.9372238824
10,3,"na","na","na","na","na","na","na","na","na","na","na","na","na","42","-5","22",0,0,2,"0","0","M","5","26.69",19,0.321269662,0.946987753,1,"1991",0.91,2.65,0.88,0.08,0.19,0.06,0.15,0.44,0.15,0.02,0.03,0.01,-0.036212173,0.424881637,-0.050609993,-1.045757491,-0.698970004,-1.15490196,-0.795880017,-0.346787486,-0.795880017,-1.522878745,-1.397940009,-1.698970004,5.2,15.1,5.03,0.7,1.3,0.43,"0.53","0.53",0,1.9372238824
